15:20:03 [WARN] Thread 7: Fetch fails: crate 3496 scaly, Download error.
15:20:03 [WARN] Thread 0: Fetch fails: crate 3496 scaly, Download error.
15:20:04 [WARN] Thread 6: Fetch fails: crate 3511 tiny-keccak, Download error.
15:20:04 [WARN] Thread 9: Fetch fails: crate 3511 tiny-keccak, Download error.
15:20:15 [WARN] Thread 8: Deal fails: crate 3512 expat-sys, corrupt deflate stream
15:26:14 [WARN] Thread 7: Fetch fails: crate 3728 clang, Download error.
15:26:14 [WARN] Thread 2: Fetch fails: crate 3728 clang, Download error.
15:26:21 [WARN] Thread 2: Fetch fails: crate 3733 cadence, Download error.
15:26:22 [WARN] Thread 4: Fetch fails: crate 3733 cadence, Download error.
15:26:29 [WARN] Thread 6: Fetch fails: crate 3717 ndarray, Download error.
15:26:29 [WARN] Thread 10: Fetch fails: crate 3717 ndarray, Download error.
15:26:39 [WARN] Thread 7: Fetch fails: crate 3731 clang-sys, Download error.
15:26:39 [WARN] Thread 1: Fetch fails: crate 3731 clang-sys, Download error.
15:31:41 [WARN] Thread 4: Fetch fails: crate 3951 prometheus, Download error.
15:31:43 [WARN] Thread 6: Fetch fails: crate 3951 prometheus, Download error.
15:32:00 [WARN] Thread 1: Fetch fails: crate 3977 rouille, Download error.
15:32:01 [WARN] Thread 3: Fetch fails: crate 3977 rouille, Download error.
15:32:03 [WARN] Thread 8: Fetch fails: crate 3952 gitlab, Download error.
15:32:03 [WARN] Thread 5: Fetch fails: crate 3952 gitlab, Download error.
15:35:46 [WARN] Thread 7: Fetch fails: crate 4191 linked_list_allocator, Download error.
15:35:46 [WARN] Thread 3: Fetch fails: crate 4191 linked_list_allocator, Download error.
15:35:56 [WARN] Thread 3: Fetch fails: crate 4199 hyphenation, Download error.
15:35:58 [WARN] Thread 11: Fetch fails: crate 4199 hyphenation, Download error.
15:35:59 [WARN] Thread 0: Fetch fails: crate 4132 orbclient, Download error.
15:36:00 [WARN] Thread 5: Fetch fails: crate 4132 orbclient, Download error.
15:36:44 [WARN] Thread 8: Fetch fails: crate 4209 dyon, Download error.
15:36:44 [WARN] Thread 2: Fetch fails: crate 4209 dyon, Download error.
15:39:31 [WARN] Thread 10: Fetch fails: crate 4363 oxipng, Download error.
15:39:31 [WARN] Thread 8: Fetch fails: crate 4363 oxipng, Download error.
15:39:34 [WARN] Thread 4: Fetch fails: crate 4427 linea, Download error.
15:39:34 [WARN] Thread 8: Fetch fails: crate 4427 linea, Download error.
15:39:38 [WARN] Thread 1: Fetch fails: crate 4433 hidapi, Download error.
15:39:39 [WARN] Thread 9: Fetch fails: crate 4433 hidapi, Download error.
15:39:45 [WARN] Thread 5: Fetch fails: crate 4408 cargo-release, Download error.
15:39:45 [WARN] Thread 11: Fetch fails: crate 4408 cargo-release, Download error.
15:42:49 [WARN] Thread 9: Fetch fails: crate 4627 nphysics2d, Download error.
15:42:49 [WARN] Thread 11: Fetch fails: crate 4628 nphysics3d, Download error.
15:42:49 [WARN] Thread 2: Fetch fails: crate 4627 nphysics2d, Download error.
15:42:50 [WARN] Thread 4: Fetch fails: crate 4628 nphysics3d, Download error.
