11:29:13 [WARN] Thread 3: Fetch fails: crate 123856 solana-client, Download error.
11:32:30 [WARN] Thread 4: Fetch fails: crate 124868 deno-x86_64-apple-darwin, Download error.
11:32:32 [WARN] Thread 5: Deal fails: crate 124868 deno-x86_64-apple-darwin, No such file or directory (os error 2)
11:32:39 [WARN] Thread 6: Fetch fails: crate 124844 deno-x86_64-pc-windows-msvc, Download error.
11:32:47 [WARN] Thread 1: Fetch fails: crate 124844 deno-x86_64-pc-windows-msvc, Download error.
11:33:03 [WARN] Thread 1: Fetch fails: crate 125634 pqcrypto-kyber, Download error.
11:33:03 [WARN] Thread 9: Fetch fails: crate 125634 pqcrypto-kyber, Download error.
11:33:09 [WARN] Thread 7: Fetch fails: crate 125345 transit_model, Download error.
11:33:10 [WARN] Thread 5: Fetch fails: crate 125345 transit_model, Download error.
11:33:15 [WARN] Thread 11: Fetch fails: crate 124866 deno-x86_64-unknown-linux-gnu, Download error.
11:33:18 [WARN] Thread 8: Fetch fails: crate 124866 deno-x86_64-unknown-linux-gnu, Download error.
11:33:40 [WARN] Thread 3: Fetch fails: crate 125353 lapin, Download error.
11:33:41 [WARN] Thread 0: Fetch fails: crate 125353 lapin, Download error.
11:35:59 [WARN] Thread 4: Fetch fails: crate 127029 thruster-proc, Download error.
11:35:59 [WARN] Thread 2: Fetch fails: crate 127029 thruster-proc, Download error.
11:36:04 [WARN] Thread 11: Fetch fails: crate 126599 bp7, Download error.
11:36:06 [WARN] Thread 10: Fetch fails: crate 126599 bp7, Download error.
11:36:39 [WARN] Thread 6: Fetch fails: crate 126961 fermium, Download error.
11:36:39 [WARN] Thread 7: Fetch fails: crate 126961 fermium, Download error.
11:39:36 [WARN] Thread 11: Fetch fails: crate 128342 pqcrypto-ntru, Download error.
11:39:37 [WARN] Thread 9: Fetch fails: crate 128342 pqcrypto-ntru, Download error.
11:39:39 [WARN] Thread 3: Fetch fails: crate 128343 pqcrypto-sphincsplus, Download error.
11:39:41 [WARN] Thread 11: Fetch fails: crate 128343 pqcrypto-sphincsplus, Download error.
11:39:53 [WARN] Thread 1: Fetch fails: crate 128193 simd-json, Download error.
11:39:54 [WARN] Thread 5: Fetch fails: crate 128193 simd-json, Download error.
11:39:59 [WARN] Thread 6: Fetch fails: crate 128130 sauron, Download error.
11:40:00 [WARN] Thread 0: Fetch fails: crate 128130 sauron, Download error.
11:40:18 [WARN] Thread 2: Fetch fails: crate 128433 rutebot, Download error.
11:40:20 [WARN] Thread 11: Fetch fails: crate 128433 rutebot, Download error.
11:42:08 [WARN] Thread 7: Fetch fails: crate 128294 rustc-ap-rustc_macros, Download error.
11:42:08 [WARN] Thread 10: Fetch fails: crate 128294 rustc-ap-rustc_macros, Download error.
11:42:25 [WARN] Thread 1: Fetch fails: crate 129395 css-modules-macros, Download error.
11:43:46 [WARN] Thread 8: Fetch fails: crate 129671 reool, Download error.
11:43:46 [WARN] Thread 2: Fetch fails: crate 129770 glue, Download error.
11:43:46 [WARN] Thread 6: Fetch fails: crate 129671 reool, Download error.
11:43:46 [WARN] Thread 3: Fetch fails: crate 129770 glue, Download error.
11:43:53 [WARN] Thread 4: Fetch fails: crate 129914 logdna-client, Download error.
11:43:53 [WARN] Thread 6: Fetch fails: crate 129914 logdna-client, Download error.
11:44:10 [WARN] Thread 7: Fetch fails: crate 129910 plotters, Download error.
11:44:13 [WARN] Thread 2: Fetch fails: crate 129910 plotters, Download error.
11:47:10 [WARN] Thread 8: Fetch fails: crate 131043 kube, Download error.
11:47:10 [WARN] Thread 10: Fetch fails: crate 131043 kube, Download error.
11:49:02 [WARN] Thread 0: Fetch fails: crate 131567 adblock, Download error.
11:49:05 [WARN] Thread 5: Fetch fails: crate 131567 adblock, Download error.
11:49:51 [WARN] Thread 10: Fetch fails: crate 131503 swc_ecma_transforms, Download error.
11:49:52 [WARN] Thread 6: Fetch fails: crate 131503 swc_ecma_transforms, Download error.
11:49:52 [WARN] Thread 4: Fetch fails: crate 131503 swc_ecma_transforms, Download error.
11:49:56 [WARN] Thread 9: Fetch fails: crate 132399 sw-composite, Download error.
11:49:56 [WARN] Thread 4: Fetch fails: crate 132399 sw-composite, Download error.
11:49:57 [WARN] Thread 8: Fetch fails: crate 132401 raqote, Download error.
11:49:58 [WARN] Thread 7: Fetch fails: crate 132401 raqote, Download error.
11:50:11 [WARN] Thread 11: Fetch fails: crate 132412 trybuild, Download error.
11:50:12 [WARN] Thread 0: Fetch fails: crate 132412 trybuild, Download error.
11:50:16 [WARN] Thread 2: Fetch fails: crate 132043 speedruns, Download error.
11:50:17 [WARN] Thread 3: Fetch fails: crate 132043 speedruns, Download error.
11:51:58 [WARN] Thread 1: Fetch fails: crate 132391 irust, Download error.
11:51:59 [WARN] Thread 10: Fetch fails: crate 132391 irust, Download error.
11:52:30 [WARN] Thread 3: Fetch fails: crate 133422 hors, Download error.
11:52:31 [WARN] Thread 8: Fetch fails: crate 133422 hors, Download error.
11:52:34 [WARN] Thread 8: Fetch fails: crate 133616 nrfxlib-sys, Download error.
11:52:36 [WARN] Thread 6: Deal fails: crate 133616 nrfxlib-sys, No such file or directory (os error 2)
11:52:39 [WARN] Thread 6: Fetch fails: crate 133662 sub-strs, Download error.
11:52:39 [WARN] Thread 10: Deal fails: crate 133662 sub-strs, No such file or directory (os error 2)
11:52:42 [WARN] Thread 3: Fetch fails: crate 133677 tiny_ecs, Download error.
11:52:43 [WARN] Thread 2: Fetch fails: crate 133677 tiny_ecs, Download error.
11:52:49 [WARN] Thread 9: Fetch fails: crate 133759 redoxer, Download error.
11:52:49 [WARN] Thread 7: Fetch fails: crate 133759 redoxer, Download error.
11:52:51 [WARN] Thread 4: Fetch fails: crate 133142 varlociraptor, Download error.
11:52:52 [WARN] Thread 11: Fetch fails: crate 133142 varlociraptor, Download error.
11:55:32 [WARN] Thread 7: Fetch fails: crate 135100 wlambda, Download error.
11:55:32 [WARN] Thread 3: Fetch fails: crate 135067 async-io, Download error.
11:55:33 [WARN] Thread 5: Fetch fails: crate 135100 wlambda, Download error.
11:55:33 [WARN] Thread 1: Fetch fails: crate 135067 async-io, Download error.
11:55:34 [WARN] Thread 8: Fetch fails: crate 134797 nu, Download error.
11:55:35 [WARN] Thread 0: Fetch fails: crate 134797 nu, Download error.
11:56:41 [WARN] Thread 2: Fetch fails: crate 135108 termimad, Download error.
11:56:41 [WARN] Thread 4: Fetch fails: crate 135108 termimad, Download error.
11:59:26 [WARN] Thread 3: Fetch fails: crate 137155 etch, Download error.
11:59:26 [WARN] Thread 11: Fetch fails: crate 136787 amq-protocol-uri, Download error.
11:59:26 [WARN] Thread 0: Fetch fails: crate 136787 amq-protocol-uri, Download error.
11:59:51 [WARN] Thread 8: Fetch fails: crate 137020 amq-protocol-tcp, Download error.
11:59:52 [WARN] Thread 1: Fetch fails: crate 137020 amq-protocol-tcp, Download error.
11:59:53 [WARN] Thread 2: Fetch fails: crate 137155 etch, Download error.
12:00:49 [WARN] Thread 10: Fetch fails: crate 136490 starship, Download error.
12:00:51 [WARN] Thread 6: Fetch fails: crate 136490 starship, Download error.
12:04:29 [WARN] Thread 11: Fetch fails: crate 137971 solana-failure-program, Download error.
12:04:29 [WARN] Thread 1: Fetch fails: crate 137971 solana-failure-program, Download error.
12:04:30 [WARN] Thread 0: Fetch fails: crate 137963 solana-noop-program, Download error.
12:04:31 [WARN] Thread 4: Fetch fails: crate 137963 solana-noop-program, Download error.
12:05:07 [WARN] Thread 8: Fetch fails: crate 137969 solana-stake-program, Download error.
12:05:08 [WARN] Thread 6: Fetch fails: crate 137969 solana-stake-program, Download error.
12:05:11 [WARN] Thread 7: Fetch fails: crate 138024 solana-validator, Download error.
12:05:13 [WARN] Thread 4: Fetch fails: crate 138024 solana-validator, Download error.
12:05:18 [WARN] Thread 9: Fetch fails: crate 137975 solana-install, Download error.
12:05:19 [WARN] Thread 10: Fetch fails: crate 137975 solana-install, Download error.
12:05:26 [WARN] Thread 5: Fetch fails: crate 138022 solana-gossip, Download error.
12:05:27 [WARN] Thread 0: Fetch fails: crate 138022 solana-gossip, Download error.
12:05:30 [WARN] Thread 1: Fetch fails: crate 137980 solana-exchange-program, Download error.
12:05:30 [WARN] Thread 2: Fetch fails: crate 137980 solana-exchange-program, Download error.
12:05:32 [WARN] Thread 3: Fetch fails: crate 137979 solana-config-program, Download error.
12:05:33 [WARN] Thread 11: Fetch fails: crate 137979 solana-config-program, Download error.
12:08:12 [WARN] Thread 8: Fetch fails: crate 139521 curve25519-fiat-sys, Download error.
12:08:13 [WARN] Thread 5: Deal fails: crate 139521 curve25519-fiat-sys, No such file or directory (os error 2)
12:08:22 [WARN] Thread 2: Fetch fails: crate 139518 sqlx, Download error.
12:08:23 [WARN] Thread 1: Fetch fails: crate 139518 sqlx, Download error.
12:08:26 [WARN] Thread 7: Fetch fails: crate 139639 sealrs, Download error.
12:08:26 [WARN] Thread 10: Fetch fails: crate 139639 sealrs, Download error.
12:08:28 [WARN] Thread 9: Fetch fails: crate 139782 st7735-lcd, Download error.
12:08:31 [WARN] Thread 5: Fetch fails: crate 139782 st7735-lcd, Download error.
12:12:26 [WARN] Thread 4: Fetch fails: crate 141132 zincati, Download error.
12:12:27 [WARN] Thread 5: Fetch fails: crate 141132 zincati, Download error.
12:12:27 [WARN] Thread 0: Fetch fails: crate 139952 nature, Download error.
12:12:28 [WARN] Thread 8: Fetch fails: crate 139952 nature, Download error.
12:12:31 [WARN] Thread 10: Fetch fails: crate 141256 actix-cors, Download error.
12:12:32 [WARN] Thread 3: Fetch fails: crate 141256 actix-cors, Download error.
12:15:26 [WARN] Thread 1: Fetch fails: crate 142706 steganer, Download error.
12:15:45 [WARN] Thread 10: Fetch fails: crate 142069 ckb-system-scripts, Download error.
12:15:47 [WARN] Thread 7: Fetch fails: crate 142706 steganer, Download error.
12:15:52 [WARN] Thread 4: Fetch fails: crate 142069 ckb-system-scripts, Download error.
12:18:10 [WARN] Thread 11: Fetch fails: crate 143755 cargo-c, Download error.
12:18:12 [WARN] Thread 9: Fetch fails: crate 143755 cargo-c, Download error.
12:18:24 [WARN] Thread 8: Fetch fails: crate 144108 tracing-subscriber, Download error.
12:18:24 [WARN] Thread 2: Fetch fails: crate 144108 tracing-subscriber, Download error.
12:18:38 [WARN] Thread 4: Fetch fails: crate 143806 solana-chacha-sys, Download error.
12:18:39 [WARN] Thread 6: Fetch fails: crate 143806 solana-chacha-sys, Download error.
12:20:24 [WARN] Thread 7: Fetch fails: crate 143827 solana-bpf-loader-program, Download error.
12:20:24 [WARN] Thread 10: Fetch fails: crate 143822 solana-merkle-tree, Download error.
12:20:25 [WARN] Thread 5: Fetch fails: crate 143827 solana-bpf-loader-program, Download error.
12:20:25 [WARN] Thread 1: Fetch fails: crate 143822 solana-merkle-tree, Download error.
12:21:45 [WARN] Thread 9: Fetch fails: crate 145337 qip, Download error.
12:21:45 [WARN] Thread 0: Fetch fails: crate 145337 qip, Download error.
12:25:19 [WARN] Thread 4: Fetch fails: crate 145497 dpl_test, Download error.
12:25:20 [WARN] Thread 2: Fetch fails: crate 145497 dpl_test, Download error.
12:25:51 [WARN] Thread 4: Fetch fails: crate 147858 pqcrypto-dilithium, Download error.
12:25:52 [WARN] Thread 11: Fetch fails: crate 147884 lib3h_mdns, Download error.
12:25:52 [WARN] Thread 5: Deal fails: crate 147858 pqcrypto-dilithium, No such file or directory (os error 2)
12:25:56 [WARN] Thread 4: Fetch fails: crate 147884 lib3h_mdns, Download error.
12:25:56 [WARN] Thread 11: Fetch fails: crate 147885 lib3h_p2p_protocol, Download error.
12:25:56 [WARN] Thread 6: Fetch fails: crate 147885 lib3h_p2p_protocol, Download error.
12:26:13 [WARN] Thread 0: Fetch fails: crate 148130 mdbook-mermaid, Download error.
12:26:15 [WARN] Thread 4: Fetch fails: crate 148130 mdbook-mermaid, Download error.
12:26:20 [WARN] Thread 10: Fetch fails: crate 148191 inkling, Download error.
12:26:20 [WARN] Thread 0: Fetch fails: crate 148191 inkling, Download error.
12:26:40 [WARN] Thread 3: Fetch fails: crate 148461 pose, Download error.
12:27:19 [WARN] Thread 8: Fetch fails: crate 148815 peek, Download error.
12:28:55 [WARN] Thread 5: Fetch fails: crate 149695 parity-scale-codec, Download error.
12:28:56 [WARN] Thread 7: Fetch fails: crate 149695 parity-scale-codec, Download error.
12:29:03 [WARN] Thread 6: Fetch fails: crate 149772 eventific, Download error.
12:29:04 [WARN] Thread 0: Fetch fails: crate 149772 eventific, Download error.
12:29:09 [WARN] Thread 4: Fetch fails: crate 149878 codenano, Download error.
12:29:10 [WARN] Thread 1: Fetch fails: crate 149878 codenano, Download error.
12:29:28 [WARN] Thread 8: Fetch fails: crate 149652 dtn7, Download error.
12:29:30 [WARN] Thread 10: Fetch fails: crate 149652 dtn7, Download error.
12:31:57 [WARN] Thread 10: Fetch fails: crate 150616 bastion, Download error.
12:32:18 [WARN] Thread 7: Fetch fails: crate 151183 kg-js, Download error.
12:32:18 [WARN] Thread 1: Deal fails: crate 151183 kg-js, No such file or directory (os error 2)
12:32:24 [WARN] Thread 6: Fetch fails: crate 151072 async-trait, Download error.
12:32:24 [WARN] Thread 4: Fetch fails: crate 151072 async-trait, Download error.
12:35:33 [WARN] Thread 10: Fetch fails: crate 150705 rustc-ap-rustc_lexer, Download error.
12:36:20 [WARN] Thread 0: Deal fails: crate 150616 bastion, No such file or directory (os error 2)
12:36:31 [WARN] Thread 4: Fetch fails: crate 152385 oxygengine-ignite, Download error.
12:36:33 [WARN] Thread 11: Fetch fails: crate 152385 oxygengine-ignite, Download error.
12:37:40 [WARN] Thread 2: Fetch fails: crate 150705 rustc-ap-rustc_lexer, Download error.
12:37:40 [WARN] Thread 9: Fetch fails: crate 150705 rustc-ap-rustc_lexer, Download error.
12:38:54 [WARN] Thread 1: Fetch fails: crate 153258 bork, Download error.
12:40:59 [WARN] Thread 3: Fetch fails: crate 153739 esp-idf-hal, Download error.
12:41:00 [WARN] Thread 5: Fetch fails: crate 153739 esp-idf-hal, Download error.
